ROI_number,ROI_label,Network,Network_color
1,lh.VisCent.ExStr.1,VisCent,darkblue
2,lh.VisCent.ExStr.2,VisCent,darkblue
3,lh.VisCent.ExStr.3,VisCent,darkblue
4,lh.VisCent.ExStr.4,VisCent,darkblue
5,lh.VisPeri.ExStrInf.1,VisPeri,purple3
6,lh.VisPeri.ExStrInf.2,VisPeri,purple3
7,lh.VisPeri.ExStrInf.3,VisPeri,purple3
8,lh.SomMotA.1,SomMotA,turquoise4
9,lh.SomMotA.2,SomMotA,turquoise4
10,lh.SomMotB.Aud.1,SomMotB,cyan3
11,lh.SomMotB.Aud.2,SomMotB,cyan3
12,lh.SomMotB.Aud.3,SomMotB,cyan3
13,lh.SomMotB.Aud.4,SomMotB,cyan3
14,lh.DAN.A.SPL.1,DAN.A,chartreuse3
15,lh.DAN.A.SPL.2,DAN.A,chartreuse3
16,lh.DAN.A.SPL.3,DAN.A,chartreuse3
17,lh.DAN.B.PostC.1,DAN.B,olivedrab4
18,lh.DAN.B.PostC.2,DAN.B,olivedrab4
19,lh.DAN.B.PostC.3,DAN.B,olivedrab4
20,lh.DAN.B.FEF.1,DAN.B,olivedrab4
21,lh.SalVAN.A.ParOper.1,SalVAN.A,maroon2
22,lh.SalVAN.A.Ins.1,SalVAN.A,maroon2
23,lh.SalVAN.A.Ins.2,SalVAN.A,maroon2
24,lh.SalVAN.A.ParMed.1,SalVAN.A,maroon2
25,lh.SalVAN.A.FrMed.1,SalVAN.A,maroon2
26,lh.SalVAN.B.PFCl.1,SalVAN.B,magenta3
27,lh.SalVAN.B.PFCmp.1,SalVAN.B,magenta3
28,lh.Limbic.OFC.1,Limbic.OFC,lightpink2
29,lh.Limbic.TempPole.1,Limbic.TempPole,hotpink2
30,lh.Limbic.TempPole.2,Limbic.TempPole,hotpink2
31,lh.ContA.IPS.1,Cont.A,orange
32,lh.ContA.PFCl.1,Cont.A,orange
33,lh.ContA.PFCl.2,Cont.A,orange
34,lh.ContB.PFClv.1,Cont.B,goldenrod
35,lh.ContC.pCun.1,Cont.C,chocolate2
36,lh.ContC.pCun.2,Cont.C,chocolate2
37,lh.ContC.Cingp.1,Cont.C,chocolate2
38,lh.DMN.A.PFCd.1,DMN.A,darkred
39,lh.DMN.A.PCC.1,DMN.A,darkred
40,lh.DMN.A.PFCm.1,DMN.A,darkred
41,lh.DMN.B.Temp.1,DMN.B,firebrick1
42,lh.DMN.B.Temp.2,DMN.B,firebrick1
43,lh.DMN.B.IPL.1,DMN.B,firebrick1
44,lh.DMN.B.PFCd.1,DMN.B,firebrick1
45,lh.DMN.B.PFCl.1,DMN.B,firebrick1
46,lh.DMN.B.PFCv.1,DMN.B,firebrick1
47,lh.DMN.B.PFCv.2,DMN.B,firebrick1
48,lh.DMN.C.Rsp.1,DMN.C,indianred2
49,lh.DMN.C.PHC.1,DMN.C,indianred2
50,lh.TempPar.1,TempPar,mediumpurple2
51,rh.VisCent.ExStr.1,VisCent,darkblue
52,rh.VisCent.ExStr.2,VisCent,darkblue
53,rh.VisCent.ExStr.3,VisCent,darkblue
54,rh.VisPeri.ExStrSup.1,VisPeri,purple3
55,rh.VisPeri.ExStrSup.2,VisPeri,purple3
56,rh.VisPeri.ExStrSup.3,VisPeri,purple3
57,rh.SomMotA.1,SomMotA,turquoise4
58,rh.SomMotA.2,SomMotA,turquoise4
59,rh.SomMotA.3,SomMotA,turquoise4
60,rh.SomMotA.4,SomMotA,turquoise4
61,rh.SomMotB.S2.1,SomMotB,cyan3
62,rh.SomMotB.S2.2,SomMotB,cyan3
63,rh.SomMotB.S2.3,SomMotB,cyan3
64,rh.SomMotB.S2.4,SomMotB,cyan3
65,rh.DAN.A.SPL.1,DAN.A,chartreuse3
66,rh.DAN.A.SPL.2,DAN.A,chartreuse3
67,rh.DAN.A.SPL.3,DAN.A,chartreuse3
68,rh.DAN.B.PostC.1,DAN.B,olivedrab4
69,rh.DAN.B.PostC.2,DAN.B,olivedrab4
70,rh.DAN.B.FEF.1,DAN.B,olivedrab4
71,rh.SalVAN.A.ParOper.1,SalVAN.A,maroon2
72,rh.SalVAN.A.Ins.1,SalVAN.A,maroon2
73,rh.SalVAN.A.FrMed.1,SalVAN.A,maroon2
74,rh.SalVAN.A.FrMed.2,SalVAN.A,maroon2
75,rh.SalVAN.B.IPL.1,SalVAN.B,magenta3
76,rh.SalVAN.B.PFCl.1,SalVAN.B,magenta3
77,rh.SalVAN.B.PFCmp.1,SalVAN.B,magenta3
78,rh.Limbic.OFC.1,Limbic.OFC,lightpink2
79,rh.Limbic.TempPole.1,Limbic.TempPole,hotpink2
80,rh.ContA.IPS.1,Cont.A,orange
81,rh.ContA.PFCl.1,Cont.A,orange
82,rh.ContA.PFCl.2,Cont.A,orange
83,rh.ContB.Temp.1,Cont.B,goldenrod
84,rh.ContB.IPL.1,Cont.B,goldenrod
85,rh.ContB.PFCld.1,Cont.B,goldenrod
86,rh.ContB.PFClv.1,Cont.B,goldenrod
87,rh.ContC.pCun.1,Cont.C,chocolate2
88,rh.ContC.pCun.2,Cont.C,chocolate2
89,rh.DMN.A.IPL.1,DMN.A,darkred
90,rh.DMN.A.PFCd.1,DMN.A,darkred
91,rh.DMN.A.PCC.1,DMN.A,darkred
92,rh.DMN.A.PFCm.1,DMN.A,darkred
93,rh.DMN.B.PFCd.1,DMN.B,firebrick1
94,rh.DMN.B.PFCv.1,DMN.B,firebrick1
95,rh.DMN.B.PFCv.2,DMN.B,firebrick1
96,rh.DMN.C.Rsp.1,DMN.C,indianred2
97,rh.DMN.C.PHC.1,DMN.C,indianred2
98,rh.TempPar.1,TempPar,mediumpurple2
99,rh.TempPar.2,TempPar,mediumpurple2
100,rh.TempPar.3,TempPar,mediumpurple2
