subjectID,Age
sub-001,66
sub-002,81
sub-003,40
sub-004,78
sub-005,60
sub-006,81
sub-007,54
sub-008,81
sub-009,30
sub-010,40
sub-011,40
sub-012,79
sub-013,55
sub-014,47
sub-015,52
sub-016,71
sub-017,27
sub-018,72
sub-019,68
sub-020,77
sub-021,37
sub-022,54
sub-023,40
sub-024,54
sub-025,42
sub-026,59
sub-027,85
sub-028,31
sub-029,21
sub-030,83
sub-031,65
sub-032,68
sub-033,69
sub-034,76
sub-035,70
sub-036,22
sub-037,24
sub-038,64
sub-039,77
sub-040,60
sub-041,56
sub-042,24
sub-043,36
sub-044,34
sub-045,50
sub-046,56
sub-047,30
sub-048,22
sub-049,53
sub-050,25
sub-051,65
sub-052,26
sub-053,56
sub-054,40
sub-055,30
sub-056,70
sub-057,45
sub-058,49
sub-059,47
sub-060,62
sub-061,44
sub-062,25
sub-063,44
sub-064,59
sub-065,32
sub-066,30
sub-067,40
sub-068,23
sub-069,56
sub-070,26
sub-071,23
sub-072,30
sub-073,20
sub-074,30
sub-075,20
sub-076,26
sub-077,21
sub-078,21
sub-079,22
sub-080,20
sub-081,33
sub-082,20
sub-083,24
sub-084,67
sub-085,58
sub-086,56
sub-087,63
sub-088,39
sub-089,42
sub-090,54
sub-091,60
sub-092,62
sub-093,74
sub-094,30
sub-095,46
sub-096,33
sub-097,75
sub-098,74
sub-099,69
sub-100,71
sub-101,86
sub-102,79
sub-103,57
sub-104,38
sub-105,39
sub-106,63
sub-107,31
sub-108,61
sub-109,68
sub-110,57
sub-111,59
sub-112,63
sub-113,34
sub-114,65
sub-115,49
sub-116,39
sub-117,52
sub-118,43
sub-119,73
sub-120,48
sub-121,63
sub-122,67
sub-123,43
sub-124,28
sub-125,28
sub-126,60
sub-127,75
sub-128,25
sub-129,70
sub-130,70
sub-131,64
sub-132,30
sub-133,43
sub-134,35
sub-135,73
sub-136,31
sub-137,43
sub-138,24
sub-139,33
sub-140,38
sub-141,43
sub-142,23
sub-143,30
sub-144,31
